MotionY,2009-03-29 오후 2:15:43,2151,0.067318,0.0006994168,234.4353,0.07083647,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2185,0.1230252,-0.005135775,5847.709,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1110,-1.193745,-0.003800733,3080.043,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2128,0.03991495,0.0005341976,244.1384,0.07024075,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2064,-0.02243678,-0.006124042,6117.938,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1188,-1.097697,-0.004409028,3191.859,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2117,0.02680915,0.0003022417,262.7107,0.0693844,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2142,0.07133213,-0.006601444,6148.741,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1323,-0.93146,-0.004111643,3227.965,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2149,0.06493513,0.0002791171,262.1836,0.06917962,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2197,0.1374512,-0.006718619,6130.504,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1332,-0.9203775,-0.003753879,3277.668,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2165,0.08399811,0.0003593431,263.8396,0.0692727,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2165,0.09898194,-0.007045381,6128.635,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1438,-0.7898509,-0.002684988,3691.892,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2239,0.1721644,0.0009117977,378.1755,0.070762,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2090,0.008819525,-0.00786336,6274.445,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1351,-0.8969812,-0.002199757,3776.777,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2224,0.1542929,0.001359989,453.5291,0.07202791,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2042,-0.04888442,-0.008995717,6599.444,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1457,-0.7664546,-0.0010034,4271.749,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2263,0.2007589,0.002050379,633.2146,0.07403845,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2084,0.001606532,-0.009852993,6743.275,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1458,-0.7652232,0.0001996666,4759.277,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2265,0.2031418,0.002742596,813.8083,0.07608623,2.538628,Stop
MotionZ,2009-03-29 오후 2:15:43,2102,0.02324551,-0.01059238,6826.52,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1447,-0.7787684,0.001328937,5174.358,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2302,0.2472249,0.003674983,1130.027,0.07608623,2.538628,
MotionZ,2009-03-29 오후 2:15:43,2061,-0.02604328,-0.01160029,7033.047,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1356,-0.8908243,0.001847711,5251.285,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2362,0.3187112,0.004996838,1751.125,0.07608623,2.538628,
MotionZ,2009-03-29 오후 2:15:43,2007,-0.09096021,-0.01296189,7470.121,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,1098,-1.208521,0.0006356274,5797.201,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2314,0.2615222,0.006007119,2094.047,0.07608623,2.538628,
MotionZ,2009-03-29 오후 2:15:43,1978,-0.125823,-0.01451342,8053.865,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:43,982,-1.351362,-0.00135467,7195.102,-0.9860447,2.538628,
MotionY,2009-03-29 오후 2:15:43,2295,0.2388849,0.006894068,2344.211,0.07608623,2.538628,
MotionZ,2009-03-29 오후 2:15:43,2001,-0.09817321,-0.01591431,8484.702,0.1589587,2.538628,
MotionX,2009-03-29 오후 2:15:44,1100,-1.206059,-0.002553336,7684.851,-0.9860447,2.538628,
